booth,x,y
MAGALU,2236.9869384765625,1278.4000244140625
MERCADO,2366.749755859375,1768.9000244140625
PAGO,2366.749755859375,1768.9000244140625
cLEARSALE,2441.1563720703125,1669.9000244140625
MELI,2441.1563720703125,1669.9000244140625
AMAZON,2899.9814453125,1503.4000244140625
saída de,2677.486572265625,308.0
emergência,2677.486572265625,308.0
WEB,2516.822021484375,553.2999877929688
CONTINENTAL,2516.822021484375,553.2999877929688
KARCHER,2623.8377685546875,389.79998779296875
Pague,2796.3426513671875,390.29998779296875
menos,2796.3426513671875,390.29998779296875
lofty,2539.13671875,414.5608367919922
stile,2539.13671875,414.5608367919922
RESERVADO,2887.2186279296875,514.5999908447266
MaGIS5,2112.2921142578125,1451.0999755859375
Eu ENTREGO,2112.2921142578125,1451.0999755859375
3 corações,1313.77685546875,1679.4000244140625
Pleno,1313.77685546875,1679.4000244140625
MB VANS,1313.77685546875,1679.4000244140625
#5 TRACK,945.52099609375,894.7999877929688
ARCHITECTURE &,945.52099609375,894.7999877929688
DEVELOPMENT,945.52099609375,894.7999877929688
#3 TRACK,1777.4254150390625,889.7999877929688
COMMERCE OPERATIONS,1777.4254150390625,889.7999877929688
#1 TRACK,1989.1971435546875,1892.800048828125
LED BY HER,1989.1971435546875,1892.800048828125
LOUNGE 04,1255.5607299804688,889.0
LOUNGE 3,811.0,1462.0217895507812
LOUNGE 02,1162.9721069335938,1842.0
nupay,1706.9345703125,1839.0
lounge,1706.9345703125,1839.0
PODCAST,1513.091064453125,889.0999755859375
ALFREDO,1513.091064453125,889.0999755859375
EDUCAÇÃO,1299.0,1844.0
PACCO,2480.990966796875,765.4000244140625
shopEE,2762.989013671875,984.7999877929688
getnet,2243.8480224609375,1117.4000244140625
Infra,2108.9759521484375,1327.9000244140625
comme4rce,2108.9759521484375,1327.9000244140625
STARKBANK,2240.969970703125,1669.4000244140625
ENEXT,2929.0770263671875,514.5999908447266
SURI,3001.842529296875,536.5999755859375
GROOVINADS,3001.8297119140625,514.5999908447266
IKESAKI,809.9723510742188,1122.0
golko,925.9907531738281,1132.0
branddi,1958.5999755859375,1012.0195007324219
venddor,1978.5999755859375,1012.0153198242188
BELLUNO,2037.5999755859375,1012.00732421875
Streamshop,2140.0,1012.0175476074219
OMNICHAT OpenCash,1966.1331787109375,1134.199951171875
aVANTI,1965.0025024414062,1102.199951171875
COREBIZ,1965.0025024414062,1102.199951171875
meta,1968.6884765625,1344.199951171875
CLICK,1968.6884765625,1344.199951171875
METO.DO,1968.6884765625,1344.199951171875
180,1969.6104125976562,1314.199951171875
seguros,1969.6104125976562,1314.199951171875
eitri,1969.6104125976562,1314.199951171875
uber,1970.07958984375,1468.1499633789062
econverse,1970.07958984375,1468.1499633789062
iota.hub,1966.4196166992188,1437.199951171875
agencia,1966.4196166992188,1437.199951171875
incomm,1838.2844848632812,1468.199951171875
todo,1838.2844848632812,1468.199951171875
wicomm,1838.2844848632812,1468.199951171875
frete,1837.958984375,1438.199951171875
rapido,1837.958984375,1438.199951171875
we digi,1837.958984375,1438.199951171875
estoca,1706.92724609375,1467.699951171875
zoop,1706.92724609375,1467.699951171875
omnik,1707.8360595703125,1437.699951171875
bonifiq,1707.8360595703125,1437.699951171875
mailbiz,1834.436279296875,1344.699951171875
frn,1834.436279296875,1344.699951171875
boavista,1836.8062744140625,1314.699951171875
moengage,1836.8062744140625,1314.699951171875
selbie,1708.5658569335938,1344.699951171875
ghfly,1708.5658569335938,1344.699951171875
martz,1706.36962890625,1315.1499633789062
conectala,1706.36962890625,1315.1499633789062
almah,1968.9150390625,1568.1499633789062
anymarket,1968.9150390625,1568.1499633789062
troque,1966.1530151367188,1537.199951171875
commerce,1966.1530151367188,1537.199951171875
connectif,1966.1530151367188,1537.199951171875
bravium,1984.4855346679688,1223.199951171875
active,1986.4830322265625,1694.0999755859375
campaign,1986.4830322265625,1694.0999755859375
e-plus,1861.33154296875,1239.0999755859375
zendesk,1859.4837036132812,1209.199951171875
NEXAAS,1604.4840698242188,1554.199951171875
koin,1604.49072265625,1437.199951171875
equifax,1837.1451416015625,1695.1499633789062
algolia,1837.1451416015625,1695.1499633789062
estrategica,1899.3871459960938,1664.0
zanthus,1899.3871459960938,1664.0
Shopnext.AI,1899.3871459960938,1664.0
NP DIGITAL,1563.4734497070312,1209.199951171875
compra,1818.356689453125,1569.199951171875
rapida,1818.356689453125,1569.199951171875
loggi,1858.4921875,1553.199951171875
logstore,1817.4859008789062,1537.199951171875
analytics,1689.3486328125,1567.199951171875
ways,1689.3486328125,1567.199951171875
tec 4 U,1703.625244140625,1537.699951171875
DINAMIZE,1945.4749145507812,1241.199951171875
